ID taxon,CatalogueNumber,Collect_ID,Род,Вид,Страна,Регион,Субрегион,Мест.1,Мест.2,Мест.3,GEN_BANK,Latitude,Longitude,Семейство,Отряд,Вауч. Инст.,Вауч. Код,Дата Сбора,Коллектор,RNA,Comments,Х1,Х2,Ткань,Пол,Возраст,Ввел(а),Редактировал(а),дата выделения ДНК
1,ZIN-TER-M-55,1,Clethrionomys,rufocanus,,"Алтай, Республика",,"Алтай, Республика",Усть-Коксинский р-он,"Банное, село, р. Колчулу",,50.29888889,84.76277778,Cricetidae,Rodentia,ЗИН,91130,6/12/2005,Стекольников А.А.,,"По сиквенсам со1 и цитохрома -  красно-серая, первоначально  определена как красная JF713496",,,мышца,1,3,Абрамсон Н.И.,Петрова Т.,
2,ZIN-TER-M-55a,2,Clethrionomys,rutilus,,"Алтай, Республика",,"Алтай, Республика",Усть-Коксинский р-он,"р.Малая Колбина, сев.отроги хр.Холзун",,50.27666667,84.69833333,Cricetidae,Rodentia,ЗИН,91131,6/13/2005,Стекольников А.А.,,,,,мышца,1,3,Абрамсон Н.И.,Абрамсон Н.И.,
3,ZIN-TER-M-55b,3,Clethrionomys,rutilus,,"Алтай, Республика",,"Алтай, Республика",Усть-Коксинский р-он,"р.Малая Колбина, сев.отроги хр.Холзун",,50.27666667,84.69833333,Cricetidae,Rodentia,ЗИН,91132,6/13/2005,Стекольников А.А.,,,,,мышца,0,3,Абрамсон Н.И.,Петрова Т.,
4,ZIN-TER-M-55c,6,Clethrionomys,rutilus,,"Алтай, Республика",,"Алтай, Республика",Усть-Коксинский р-он,"р.Малая Колбина, сев.отроги хр.Холзун",,50.27666667,84.69833333,Cricetidae,Rodentia,ЗИН,91133,6/14/2005,Стекольников А.А.,,,,,мышца,1,3,Абрамсон Н.И.,-,
5,ZIN-TER-M-1,7,Clethrionomys,rutilus,,"Алтай, Республика",,"Алтай, Республика",Усть-Коксинский р-он,"р.Малая Колбина, сев.отроги хр.Холзун",,50.27666667,84.69833333,Cricetidae,Rodentia,ЗИН,91134,6/14/2005,Стекольников А.А.,,,,,мышца,0,2,Абрамсон Н.И.,-,
6,ZIN-TER-M-2,8,Clethrionomys,rutilus,,"Алтай, Республика",,"Алтай, Республика",Усть-Коксинский р-он,"р.Малая Колбина, сев.отроги хр.Холзун",,50.27666667,84.69833333,Cricetidae,Rodentia,ЗИН,91135,6/14/2005,Стекольников А.А.,,,,,мышца,,1,Абрамсон Н.И.,-,
7,ZIN-TER-M-3,28,Clethrionomys,rutilus,,"Алтай, Республика",,"Алтай, Республика",Усть-Коксинский р-он,пойма р.Красноярка,,50.14,84.93916667,Cricetidae,Rodentia,ЗИН,91136,6/25/2005,Стекольников А.А.,,,,,мышца,1,3,Абрамсон Н.И.,-,
8,ZIN-TER-M-4,29,Clethrionomys,rutilus,,"Алтай, Республика",,"Алтай, Республика",Усть-Коксинский р-он,пойма р.Красноярка,,50.14,84.93916667,Cricetidae,Rodentia,ЗИН,91137,6/25/2005,Стекольников А.А.,,,,,мышца,0,3,Абрамсон Н.И.,-,
9,ZIN-TER-M-5,31,Clethrionomys,rutilus,,"Алтай, Республика",,"Алтай, Республика",Улаганский р-он,"Курайский хр., п.Акташ, р.Ярлыамры",,50.31944444,87.75388889,Cricetidae,Rodentia,ЗИН,91138,6/29/2005,Стекольников А.А.,,,,,мышца,0,3,Абрамсон Н.И.,-,
10,ZIN-TER-M-6,59,Clethrionomys,rutilus,,"Алтай, Республика",,"Алтай, Республика",Улаганский р-он,"Курайский хр., п.Акташ, р.Ярлыамры",,50.33305556,87.65472222,Cricetidae,Rodentia,ЗИН,91139,7/5/2005,Стекольников А.А.,,,,,мышца,0,3,Абрамсон Н.И.,-,
