id,collect_id,kind_id,region_id,gen_bank_id,point,vouch_inst_id,vouch_id,day,month,year,sex_id,age_id,comment,geo_comment
1,1,1,1,,Point(84.76277778 50.29888889),1,91130,12,6,2005,2,3,"По сиквенсам со1 и цитохрома -  красно-серая, первоначально  определена как красная JF713496","Усть-Коксинский р-он, Банное, село, р. Колчулу"
2,2,2,1,,Point(84.69833333 50.27666667),1,91131,13,6,2005,2,3,,"Усть-Коксинский р-он, р.Малая Колбина, сев.отроги хр.Холзун"
3,3,2,1,,Point(84.69833333 50.27666667),1,91132,13,6,2005,1,3,,"Усть-Коксинский р-он, р.Малая Колбина, сев.отроги хр.Холзун"
4,6,2,1,,Point(84.69833333 50.27666667),1,91133,14,6,2005,2,3,,"Усть-Коксинский р-он, р.Малая Колбина, сев.отроги хр.Холзун"
5,7,2,1,,Point(84.69833333 50.27666667),1,91134,14,6,2005,1,2,,"Усть-Коксинский р-он, р.Малая Колбина, сев.отроги хр.Холзун"
6,8,2,1,,Point(84.69833333 50.27666667),1,91135,14,6,2005,,1,,"Усть-Коксинский р-он, р.Малая Колбина, сев.отроги хр.Холзун"
7,28,2,1,,Point(84.93916667 50.14),1,91136,25,6,2005,2,3,,"Усть-Коксинский р-он, пойма р.Красноярка"
8,29,2,1,,Point(84.93916667 50.14),1,91137,25,6,2005,1,3,,"Усть-Коксинский р-он, пойма р.Красноярка"
9,31,2,1,,Point(87.75388889 50.31944444),1,91138,29,6,2005,1,3,,"Улаганский р-он, Курайский хр., п.Акташ, р.Ярлыамры"
10,59,2,1,,Point(87.65472222 50.33305556),1,91139,5,7,2005,1,3,,"Улаганский р-он, Курайский хр., п.Акташ, р.Ярлыамры"
11,62,2,1,,Point(87.65472222 50.33305556),1,91140,5,7,2005,,,,"Улаганский р-он, Курайский хр., п.Акташ, р.Ярлыамры"
12,64,2,1,,Point(85.94416667 51.95166667),1,91141,7,7,2005,2,3,,"Горно-Алтайск, р. Майма"
13,65,2,1,,Point(85.94416667 51.95166667),1,91142,7,7,2005,1,3,,"Горно-Алтайск, р. Майма"
14,10,3,1,,Point(84.61277778 50.27722222),1,90969,16,6,2005,2,3,,"Усть-Коксинский р-он, р.Малая Колбина, сев.отроги хр.Холзун"
