id,family_id,name
1,1,Clethrionomys
2,1,Microtus
3,1,Alticola
4,1,Lasiopodomys
5,1,Lemmus
6,1,Dicrostonyx
7,1,Eolagurus
8,2,Meriones
9,1,Craseomys
10,1,Ellobius
11,1,Lagurus
12,1,Myopus
13,2,Rhombomys
14,3,Eliomys
15,1,Cricetulus
16,4,Apodemus
17,5,Eutamias
18,6,Ochotona
19,7,Sorex
20,1,Arvicola
21,7,Neomys
22,8,Sicista
23,1,Prometheomys
24,1,Dinaromys
25,1,Neodon
26,1,Chionomys
27,1,Calomyscus
28,9,Rhyzomys
29,4,Niviventer
30,4,Mus
31,10,
32,1,Eothenomys
33,1,Synaptomys
34,2,Gerbilis
35,1,Phenacomys
36,4,Sylvaemus
37,5,Spermophilus
38,1,Phodopus
39,11,Spalax
40,12,Allactaga
41,13,Dipus
42,1,Ondatra
43,5,Tamias
44,4,Rattus
45,14,Plecotus
46,4,Tscherskia
47,1,Tscherskia
48,15,Lepus
49,16,Mustela
50,7,Suncus
51,1,Phaiomys
52,17,Panthera
53,7,Anourosorex
54,18,Meriones
55,18,Rhombomys
56,5,Sciurus
57,4,Micromys
58,19,Talpa
59,18,
60,3,Dryomys
61,1,Terricola
62,1,Hyperacrius
63,1,Alexandromys
64,20,
65,1,Myodes?
66,1,Tericola
67,4,Meriones
68,1,Lemmiscus
69,13,Allactaga
70,1,Myodes
71,21,Erinaceus
72,22,Crocidura
73,10,Soricinae
74,23,Mephistis
75,24,Vulpes
76,25,Didelphis
77,10,Peromyscus
78,26,Dendrogale
79,20,Myotis
80,27,Myotis
81,28,Sarnus
82,10,Ommatiduotus
83,28,Oronoqua
84,10,Perissana
85,28,Chimetopon
86,3,Selevinia
87,1,Agricola
88,10,Myomimus
89,10,Glirulus
90,29,Dicrostonyx
91,29,
92,10,Rattus
93,3,Graphiurus
94,10,Alexandromys
95,10,Agricola
96,10,Clethrionomys
97,10,Lasiopodomys
98,30,Vulpes
99,10,Alticola
100,10,Cricetulus
101,10,Microtus
102,10,Spermophilus
103,10,Apodemus
104,10,Sorex
105,10,Myopus
106,10,Ochotona
107,10,Craseomys
