id,genus_id,name
1,1,?
2,2,?
3,3,agrestis
4,4,agrestis
5,5,middendorfi
6,5,middendorffii
7,5,fortis
8,6,oeconomus
9,5,oeconomus
10,7,sibirica
11,8,sibirica
12,9,macrotis
13,9,strelzovi
14,9,semicanus
15,9,barakshin
16,9,argentatus
17,9,lemminus
18,9,stoliczkanus
19,9,roylei
20,9,tuvinicus
21,9,olchonensis
22,9,sp.
23,9,tuvunicus
24,10,squamipes
25,11,sylvaticus
26,11,peninsula
27,11,uralensis
28,11,agrestis
29,11,flavicolis
30,11,agrarius
31,11,sp
32,11,penninsulae
33,11,peninsulae
34,11,?
35,11,flavicollis
36,12,terrestris
37,12,amphibius
38,13,mystax
39,14,"camerunensis schmidt, 1910"
40,15,gud
41,15,nivalis
42,16,rufocanus
43,16,rutilus
44,16,glareolus
45,16,centralis
46,16,gapperi
47,16,sikotanensis
48,16,sp.
49,16,?
50,17,rutilus
51,17,rufocanus
52,17,glareolus
53,18,rufocanus
54,18,rex
55,19,migratorius
56,19,barabensis
57,19,langicaudatus
58,19,lama
59,19,pseudogriseus
60,19,longicaudatus
61,19,barabensics
62,20,?
63,20,suaveolens
64,20,serezkyensis
65,20,armenica
66,20,cf. c. pergrisea
67,21,murina
68,22,torquatus
69,23,torquatus
70,24,virginiana
71,25,bogdanovi
72,26,sagitta
73,27,nitedula
74,28,querqicinus
75,29,talpinus
76,29,tancrei
77,29,lutescens
78,29,fuscocapillus
79,30,luteus
80,31,melanogaster
81,32,roumanicus
82,33,sibiricus
83,34,sp.
84,35,japonicus
85,36,murinus
86,37,fertilis
87,38,lagurus
88,39,mandarinus
89,39,brandtii
90,39,raddei
91,39,gregalis
92,40,gregalis
93,41,curtatus
94,42,sibiricus
95,42,trimucronatus
96,42,lemmus
97,42,amurensis
98,42,bungei
99,42,?
100,43,timidus
101,43,arcticus
102,43,?
103,44,mephistis
104,45,tamariscinus
105,45,meridianus
106,45,libycus
107,45,persicus
108,45,unguiculatus
109,45,vinogradovi
110,45,tristrami
111,46,meridianus
112,47,unguiculatus
113,47,?
114,47,meridianus
115,48,minutus
116,49,gregalis
117,49,oeconomus
118,49,middendorffii
119,49,agrestis
120,49,arvalis
121,49,rossiaemeridionalis
122,49,socialis
123,49,qazvinensis
124,49,maximowiczii
125,49,daghestanicus
126,49,fortis
127,49,majori
128,49,cabrerae
129,49,pennsilvanicus
130,49,longicaudatus
131,49,mujanensis
132,49,evoronensis
133,49,gromovi
134,49,mongolicus
135,49,afghanus
136,49,carruthersi
137,49,bucharensis
138,49,sp.
139,49,guentheri
140,49,irani
141,49,schidlovski
142,49,lydius
143,49,sachalinensis
144,49,limnophilus
145,49,richardsoni
146,49,ochrogaster
147,49,miurus
148,49,californicus
149,49,chrotorrhinus
150,49,breweri
151,49,dogramacii
152,49,anatolicus
153,49,hartingi
154,49,juldaschi
155,49,sikimensis
156,49,?
157,49,fuscus
158,49,kermanensis
159,49,transcaspicus
160,49,ilaeus igromovi
161,49,ilaeus
162,49,arvalis transuralensis
163,49,grandis
164,49,arvalis obscurus
165,49,arvalis brauneri
166,49,subarvalis
167,49,socialis ?
168,49,mystacinus
169,49,middendorfi
170,49,obscurus
171,50,musculus
172,50,sp.
173,50,spicilegus
174,51,erminea
175,51,nivalis
176,52,?
177,52,gapperi
178,53,?
179,54,roachi / кат. personatus
180,55,schisticolor
181,55,shisticolor
182,56,brandtii
183,57,longicaudatus bucharensis
184,56,ikonnikovi
185,56,mystacinus kukunorensis
186,56,mystacinus przewalskii
187,58,sikimensis
188,59,fodiens
189,60,langbianis
190,61,hyperborea
191,61,daurica
192,61,sp.
193,61,roylei
194,61,nubrica
195,61,ladacensis
196,61,macrotis
197,61,dauurica
198,61,pusilla
199,62,iranicus
200,63,zibethica
201,64,orellana
202,65,leo
203,66,dlabalai
204,67,leucopus
205,68,leucurus
206,69,intermedius
207,70,campbelli
208,70,roborovskii
209,70,sungorus
210,70,sp.
211,71,auritus
212,72,shaposhnikovi
213,72,schaposhnikovi
214,72,schaposchnikowi
215,72,?
216,73,norvegicus
217,73,rattus
218,73,pictorius
219,74,?
220,75,opimus
221,76,opimus
222,77,sumatrensis
223,78,rhombaidalis
224,79,vulgaris
225,80,betpakdalaensis
226,81,betulina
227,82,caecutiens
228,82,roboratus
229,82,sp
230,82,araneus
231,82,minutus
232,82,tundrensis
233,82,isodon
234,82,?
235,82,daphaenodon
236,82,sp.
237,83,?
238,84,microphtalmus
239,85,undulatus
240,85,parryi
241,86,murinus
242,87,uralensis
243,87,sp.
244,87,sylvaticus
245,88,cooperi
246,89,caucasica
247,89,europaea
248,90,sibiricus
249,90,striatus
250,91,subterraneus
251,91,daghestanicus
252,92,subterraneus
253,92,majori
254,93,triton
255,94,triton
256,95,lagopus
257,95,vulpes
258,96,lagopus
259,97,неизвестен
260,98,?
