id,country_id,name
1,1,Республика Алтай
2,2,Восточно-Казахстанская область
3,1,Республика Бурятия
4,3,Хувсгел
5,1,Забайкальский край
6,3,Архангай
7,1,Архангельская область
8,1,Оренбургская область
9,1,Владимирская область
10,1,Республика Коми
11,1,Саратовская область
12,1,Магаданская область
13,1,Сахалинская область
14,1,Чукотский автономный округ
15,1,Новосибирская область
16,1,Мурманская область
17,1,Карелия
18,1,Тверская область
19,1,Ленинградская область
20,1,Свердловская область
21,1,Калининградская область
22,1,Псковская область
23,1,Ямало-Ненецкий автономный округ
24,1,Новгородская область
25,1,Республика Саха (Якутия)
26,4,Емтланд
27,4,Вестерботтен
28,1,Камчатский край
29,1,Белгородская область
30,1,Челябинская область
31,1,Вологодская область
32,3,Говь-Алтай
33,3,Баянхонгор
34,1,Калмыкия
35,5,Кашкадарьинская область
36,5,Сурхандарьинская область
37,1,Красноярский край
38,3,Завхан
39,3,Булган
40,1,Хабаровский край
41,5,Бухарская область
42,1,Томская область
43,2,Павлодарская область
44,1,Волгоградская область
45,3,Хэнтий
46,3,Сэлэнгэ
47,3,Увс
48,3,Ховд
49,6,Балканский велаят
50,1,Республика Тыва
51,7,Армавирская область
52,8,Зенджан
53,1,Московская область
54,8,Казвин
55,2,Алматинская область
56,1,Адыгея
57,9,Зангилан
58,3,Умнеговь
59,3,Дорнод
60,3,Дундговь
61,3,Туве
62,1,Астраханская область
63,1,Приморский край
64,5,Андижанская область
65,5,Ташкентская область
66,1,Дагестан
67,1,Кемеровская область
68,10,Онтарио
69,1,Иркутская область
70,1,Амурская область
71,11,
72,12,
73,13,
74,1,Ростовская область
75,2,Кызылординская область
76,1,
77,14,
78,15,
79,16,
80,6,Ахалский велаят
81,17,Ламдонг
82,18,Северная Карелия
83,3,Улан-Батор
84,3,Баян-Улгий
85,10,
86,19,
87,17,
88,2,Жетысуская область
89,20,Аляска
90,21,
91,22,
92,1,Республика Хакасия
93,1,Удмуртия
94,1,Татарстан
95,1,Самарская область
96,1,Алтайский край
97,6,Ашхабад
98,23,Согдийская область
99,24,
100,1,Курская область
101,24,Средиземноморский регион
102,8,Альборз
103,8,Хамадан
104,8,
105,7,Арагацотнская область
106,1,Рязанская область
107,25,
108,9,Бакинская Администрация
109,8,شهرستان تهران
110,8,Керманшах
111,26,
112,19,Внутренняя Монголия
113,27,Витебская область
114,8,Фарс
115,8,Центральный остан
116,28,Тбилиси
117,8,Хузестан
118,29,Ивано-Франковская область
119,1,Воронежская область
120,30,Абхазская Автономная Республика
121,13,Химачал-Прадеш
122,13,Ладакх
123,29,Киевская область
124,19,Сычуань
125,19,Цинхай
126,19,Ганьсу
127,19,Синьцзян
128,28,Гудаутский район
129,31,Ошская область
130,31,
131,31,город Бишкек
132,2,Абайская область
133,1,Омская область
134,7,Лорийская область
135,7,Котайкская область
136,7,Ширакская область
137,1,Курганская область
138,3,Уверхангай
139,31,Джалал-Абадская область
140,8,Голестан
141,8,Чехармехаль и Бахтиария
142,8,Северный Хорасан
143,32,
144,1,Краснодарский край
145,2,Карагандинская область
146,23,Горно-Бадахшанская автономная область
147,8,Керман
148,23,Районы республиканского подчинения
149,5,Республика Каракалпакстан
150,3,
151,3,Сухэ-Батор
152,33,
153,28,Мцхета-Мтианети
154,1,Ханты-Мансийский автономный округ — Югра
155,34,Хасковская область
156,13,Дели
157,9,
158,35,
159,36,Северная провинция
160,1,Пермский край
161,29,Харьковская область
162,28,
163,28,Нижняя Картли
164,23,Хатлонская область
165,2,Алматы
166,1,Северо-Западный федеральный округ
167,23,
168,16,Хайбер-Пахтунхва
169,37,Орельяна
170,9,Нахичеванская Автономная Республика
171,7,Сюникская область
172,34,Бургасская область
173,38,北安曇郡
174,39,Гаутенг
175,31,Нарынская область
